Province,Year,GDP_100M_Yuan,GDP_Per_Capita,GDP_Index,Primary_Industry_Value_Added,Secondary_Industry_Value_Added,Tertiary_Industry_Value_Added,Agriculture_Forestry_Livestock_Fishery_Value_Added,Industrial_Value_Added,Construction_Value_Added,Wholesale_Retail_Value_Added,Real_Estate_Value_Added,Accommodation_Catering_Value_Added,Other_Industries_Value_Added,Total_Population,Gender_Ratio_Female_100,All_Residents_Per_Capita_Disposable_Income,Urban_Per_Capita_Disposable_Income,Rural_Per_Capita_Disposable_Income,All_Residents_Per_Capita_Consumption_Expenditure,Urban_Per_Capita_Consumption_Expenditure,Rural_Per_Capita_Consumption_Expenditure,Resident_Consumption,Urban_Resident_Consumption_100M_Yuan,Rural_Resident_Consumption_100M_Yuan,Resident_Consumption_Level_Yuan,Urban_Resident_Consumption_Level_Yuan,Rural_Resident_Consumption_Level_Yuan,Urban_Registered_Unemployment_10K_People,Urban_Registered_Unemployment_Rate,Consumer_Price_Index,Resident_Consumption_Level_Index,Urban_Consumption_Level_Index,Rural_Consumption_Level_Index,Local_Government_Budget_Revenue,Local_Government_Budget_Expenditure,Expenditure_Method_GDP,Income_Method_GDP,Final_Consumption,Gross_Fixed_Capital_Formation,Final_Consumption_Rate,Government_Consumption,Labor_Compensation,Fixed_Asset_Depreciation,Net_Production_Taxes,Inventory_Increase,Primary_Industry_Share,Secondary_Industry_Share,Tertiary_Industry_Share,Urban_Rural_Income_Ratio,Government_Expenditure_GDP_Ratio,GDP_Per_Capita_10K_Yuan,GDP_Growth_Rate,Unemployment_Rate_Per_10K
上海市,2013,23204.1,95746.0,107.9,131.6,8286.5,14786.0,136.0,7765.3,586.5,3593.3,1917.4,318.2,5155.2,2448.0,106.24,42174.0,44878.0,19208.0,30400.0,32447.0,13016.0,9405.0,8893.5,511.5,39223.0,41464.0,20221.0,25.3,4.0,102.3,107.3,107.0,110.3,4109.51,4528.61,21602.1,23204.1,12516.3,7617.1,57.9,3111.3,9852.6,3076.8,4412.1,741.7,0.5671411517792114,35.71136135424343,63.72149749397737,2.3364223240316533,19.516421666860598,94.78799019607843,7.900000000000006,1.0334967320261437
上海市,2014,25269.8,102827.0,107.1,132.0,8633.3,16504.5,136.3,8099.9,601.4,3729.4,2121.1,368.8,5788.2,2467.0,106.7,45966.0,48841.0,21192.0,33065.0,35182.0,14820.0,10409.4,9835.4,574.0,43007.0,45352.0,22803.0,25.6,4.1,102.7,107.3,107.3,108.3,4585.55,4923.44,23567.7,25269.8,13858.1,8022.5,58.8,3448.8,10975.2,3220.7,4669.1,745.3,0.5223626621500763,34.16449675106253,65.31314058678738,2.304690449226123,19.483494131334638,102.43129306850426,7.099999999999994,1.0376976084312932
上海市,2015,26887.0,109186.0,107.0,125.5,8408.7,18352.8,129.7,7888.6,589.3,3892.2,2404.2,382.9,6367.3,2458.0,108.37,49867.0,52962.0,23205.0,34784.0,36946.0,16152.0,11089.6,10454.9,634.7,45816.0,48750.0,23005.0,24.8,4.0,102.4,106.5,107.4,100.7,5519.5,6191.56,25123.5,26887.0,14854.5,8999.9,59.1,3764.9,11818.2,3410.4,4852.4,551.0,0.46676832670063606,31.274221742849704,68.25900993044965,2.2823529411764705,23.02808048499275,109.38567941415785,7.0,1.0089503661513426
上海市,2016,29887.0,121369.0,106.9,114.3,8570.2,21202.4,118.3,8045.5,595.6,4218.5,3102.5,400.1,7453.9,2467.0,105.87,54305.0,57692.0,25520.0,37458.0,39857.0,17071.0,11994.8,11294.1,700.7,49617.0,53240.0,23660.0,24.3,4.1,103.2,106.7,107.6,101.4,6406.13,6918.94,28178.7,29887.0,16177.0,10631.4,57.4,4182.3,13213.2,3724.1,5314.7,689.8,0.38244180560713886,28.6754397411575,70.94211845323537,2.2606583072100315,23.15033292066785,121.14714227807053,6.900000000000006,0.9850020267531414
上海市,2017,32925.0,133489.0,107.0,110.8,9525.9,23288.3,115.1,8977.4,634.4,4562.9,2873.2,430.3,8615.6,2466.0,103.54,58988.0,62596.0,27825.0,39792.0,42304.0,18090.0,12970.1,12214.0,756.2,53617.0,57507.0,25622.0,22.1,3.9,101.7,107.3,107.2,107.6,6642.26,7547.62,30633.0,32925.0,17551.0,11507.2,57.3,4580.9,14997.1,3923.6,5224.4,685.9,0.3365223993925588,28.932118451025058,70.73135914958239,2.2496316262354,22.923675018982536,133.51581508515815,7.0,0.8961881589618816
上海市,2018,36011.8,145767.0,106.8,104.8,10360.8,25546.3,112.4,9763.5,685.7,4884.8,3185.3,451.6,9410.1,2475.0,106.61,64183.0,68034.0,30375.0,43351.0,46015.0,19965.0,,,,,,,19.4,3.5,101.6,,,,7108.15,8351.54,,,,,,,,,,,0.2910149145143689,28.770489754775507,70.93849533071014,2.2398024691358023,23.19112068821886,145.50222222222223,6.799999999999997,0.7838383838383837
上海市,2019,37987.6,153299.0,106.0,107.1,10193.6,27686.9,113.3,9565.1,716.2,5023.2,3300.7,458.9,10624.5,2481.0,107.86,69442.0,73615.0,33195.0,45605.0,48272.0,22449.0,,,,,,,19.3,3.6,102.5,,,,7165.1,8179.28,,,,,,,,,,,0.2819341048131495,26.834019522159856,72.88404637302698,2.217653261033288,21.531447103791766,153.11406690850464,6.0,0.7779121322047562
云南省,2013,12825.5,27665.0,112.2,1878.5,5000.5,5946.5,1912.8,3903.4,1100.0,1345.8,586.7,347.0,2363.9,4641.0,107.56,12578.0,22460.0,6724.0,8824.0,14862.0,5247.0,5244.6,3558.7,1685.9,11224.0,19089.0,6003.0,18.1,4.0,103.1,111.7,111.8,105.2,1611.3,4096.51,11720.9,12825.5,7364.2,9311.1,62.8,2119.6,6568.0,1602.9,1947.2,644.1,14.64660247163853,38.98873338271412,46.364664145647346,3.3402736466389054,31.94035320260419,27.635207929325578,12.200000000000003,0.3900021547080371
云南省,2014,14041.7,30217.0,108.1,2007.4,5376.5,6657.7,2045.4,4085.0,1294.6,1469.8,659.7,384.8,2629.4,4653.0,105.4,13772.0,24299.0,7456.0,9870.0,16268.0,6030.0,5750.9,3781.0,1969.9,12235.0,19569.0,7116.0,19.2,4.0,102.4,107.7,102.3,114.8,1698.06,4437.98,12814.6,14041.7,8207.5,10918.8,64.0,2456.6,7208.4,1812.3,2084.9,759.8,14.296091613491344,38.289796034639934,47.41411235186874,3.258986051502146,31.605717256457545,30.17773479475607,8.099999999999994,0.41263700838168926
云南省,2015,14960.0,32117.0,108.7,2079.3,5491.7,7389.0,2121.8,4044.5,1450.5,1583.3,709.7,398.1,3000.6,4663.0,104.98,15223.0,26373.0,8242.0,11005.0,17675.0,6830.0,6354.3,4252.9,2101.3,13401.0,20699.0,7820.0,19.5,4.0,101.9,110.9,109.4,108.6,1808.1,4712.83,13619.2,14960.0,8855.3,12080.1,65.0,2501.1,7864.2,1939.7,2052.5,526.8,13.899064171122996,36.709224598930476,49.39171122994652,3.1998301383159427,31.5028743315508,32.08235041818572,8.700000000000003,0.4181857173493459
云南省,2016,16369.0,35051.0,108.7,2225.5,5747.4,8396.1,2272.6,4087.5,1663.4,1732.5,819.4,435.4,3496.8,4677.0,102.16,16720.0,28611.0,9020.0,11769.0,18622.0,7331.0,6912.8,4699.7,2213.1,14534.0,22365.0,8336.0,20.1,3.6,101.5,106.8,104.3,106.7,1812.29,5018.86,14788.4,16369.0,9592.7,13321.1,64.9,2680.0,8775.9,2122.2,2105.5,582.2,13.595821369662167,35.11149123342904,51.292687396908796,3.171951219512195,30.660761194941657,34.99893093863588,8.700000000000003,0.4297626683771648
云南省,2017,18486.0,39458.0,109.5,2338.4,6317.8,9829.8,2388.6,4347.8,1973.7,1941.1,1006.1,486.4,4208.5,4693.0,107.41,18348.0,30996.0,9862.0,12658.0,19560.0,8027.0,7599.8,5265.0,2334.8,15831.0,23490.0,9123.0,19.8,3.2,100.9,106.8,102.5,108.3,1886.17,5712.97,16376.3,18486.0,10506.1,14825.5,64.2,2906.3,10051.9,2433.8,2276.4,661.5,12.649572649572649,34.176133290057344,53.17429406037001,3.142973027783411,30.904305961267987,39.390581717451525,9.5,0.42190496484125295
云南省,2018,20880.6,44446.0,108.9,2498.7,7267.5,11114.5,2552.6,4911.7,2360.0,2187.3,1278.2,539.2,4697.9,4703.0,107.67,20084.0,33488.0,10768.0,14250.0,21626.0,9123.0,,,,,,,20.9,3.4,101.6,,,,1994.35,6075.03,,,,,,,,,,,11.966552845450583,34.804867652904356,53.22857950164506,3.109955423476969,29.094135225999253,44.398469062300656,8.900000000000006,0.44439719328088456
云南省,2019,23223.8,49323.0,108.1,3037.7,8060.4,12125.7,3096.2,5400.5,2664.6,2386.2,1417.4,589.5,5175.2,4714.0,104.14,22082.0,36238.0,11902.0,15780.0,23455.0,10260.0,,,,,,,22.9,3.3,102.5,,,,2073.56,6770.09,,,,,,,,,,,13.080116087806474,34.707498342217896,52.21238556997563,3.044698370021845,29.15151697827229,49.26559185405176,8.099999999999994,0.48578701739499364
内蒙古自治区,2013,11392.4,46320.0,108.7,1582.9,4870.1,4939.4,1605.3,3823.6,1046.6,978.8,586.1,247.5,1752.7,2455.0,107.91,18693.0,26004.0,8985.0,14878.0,19244.0,9080.0,4281.3,3425.1,856.1,17168.0,23590.0,8218.0,23.8,3.7,103.2,109.9,107.7,113.7,1720.98,3686.52,16832.4,11392.4,6889.6,15287.1,40.9,2608.3,5725.0,1396.4,1396.1,441.0,13.894350619711387,42.74867455496648,43.35697482532214,2.8941569282136896,32.359467715318985,46.40488798370672,8.700000000000003,0.969450101832994
内蒙古自治区,2014,12158.2,49585.0,107.8,1638.0,5114.4,5405.8,1661.9,4008.3,1106.1,1073.4,646.2,263.9,1940.4,2449.0,103.9,20559.0,28350.0,9976.0,16258.0,20885.0,9972.0,4959.2,3827.1,1132.2,19827.0,25885.0,11070.0,24.8,3.6,101.6,108.7,107.8,108.6,1843.67,3879.98,17769.5,12158.2,7158.2,13453.9,40.3,2199.0,6182.8,1591.9,1470.3,301.3,13.47238900495139,42.065437318024046,44.46217367702456,2.8418203688853247,31.91245414617295,49.64556962025316,7.799999999999997,1.0126582278481013
内蒙古自治区,2015,12949.0,52972.0,107.7,1630.2,5269.5,6049.2,1655.3,4121.2,1148.3,1146.7,664.5,283.8,2365.2,2440.0,104.32,22310.0,30594.0,10776.0,17179.0,21876.0,10637.0,5225.2,4037.3,1188.0,20835.0,26872.0,11814.0,25.9,3.7,101.1,104.6,103.6,105.4,1964.48,4252.96,17831.5,12949.0,7452.8,13844.4,41.8,2227.6,6654.3,1671.4,1415.4,192.1,12.589486365637237,40.69457637328268,46.71593726108009,2.839086859688196,32.84392617190517,53.06967213114754,7.700000000000003,1.0614754098360655
内蒙古自治区,2016,13789.3,56560.0,107.0,1650.6,5579.8,6558.9,1677.0,4357.1,1222.7,1220.5,705.1,302.6,2597.7,2436.0,102.05,24127.0,32975.0,11609.0,18072.0,22744.0,11463.0,5608.0,4323.0,1285.0,22293.0,28289.0,13013.0,26.7,3.7,101.2,105.5,104.2,107.2,2016.43,4512.71,18128.1,13789.3,8030.9,12489.5,44.3,2422.9,7015.9,2141.2,1612.5,128.3,11.970150769074571,40.464708143270514,47.56514108765492,2.8404686019467653,32.72617174185782,56.60632183908046,7.0,1.0960591133004924
